"CensusID","DateID","SiteID","AreaID","TypeID","CounterID","DielID","TimeStart","TimeEnd","AreaCovered","CensusComments","CensusNum","s_ColLineage","s_Generation","s_GUID","s_Lineage"
1028409284,1410796463,101,444919195,2,10,1,"1899-12-30 05:40:00","1899-12-30 10:25:00",100,"Dawn foggy",8,,16,,
904719696,1410820843,101,405379393,2,10,1,"1899-12-30 06:22:00","1899-12-30 07:15:00",100,"Clear sky, low waves.  Low barnacle patch",7,,16,,
-1433201473,1410820843,101,-1231616448,2,10,1,"1899-12-30 07:15:00","1899-12-30 09:22:00",100,"Pollicipes-dominated patch",3,,16,,
37404753,1410974608,101,1782601326,2,10,1,"1899-12-30 07:08:00","1899-12-30 10:15:00",85,"clear sky",6,,16,,
-1726834572,1402354975,101,1886782807,2,10,1,"1899-12-30 05:50:00","1899-12-30 10:23:00",100,,2,,16,,
-811640048,817883051,101,-1337255348,2,10,1,"1899-12-30 05:55:00","1899-12-30 09:25:00",85,"barnacle-dominated patch; foggy overcast & drizzle; relatively calm",4,,16,,
-324519426,817883051,101,-1915492515,2,10,1,"1899-12-30 05:25:00","1899-12-30 08:00:00",100,"barnacle patch; windy, intermittent rain, low swell but whitecaps.  1 Pisaster in patch",5,,16,,
2009555604,1411490751,101,375208282,2,10,1,"1899-12-30 05:30:00","1899-12-30 10:35:00",100,"overcast w/ intermittent rain",10,,17,,
-2034692684,1411583839,101,180152088,2,10,1,"1899-12-30 07:30:00","1899-12-30 08:30:00",100,"overcast, light rain, medium swell",1,,17,,
1411667050,1411583839,101,-999690029,2,10,1,"1899-12-30 08:35:00","1899-12-30 11:38:00",100,"overcast, medium swell",9,,17,,
-1001895293,1418671493,100,22,2,10,1,"1899-12-30 05:50:00","1899-12-30 06:00:00",100,,11,,17,,
-1491065627,1418671493,100,23,2,10,1,"1899-12-30 06:00:00","1899-12-30 07:30:00",100,,12,,17,,
-124977564,1418671493,100,24,2,10,1,"1899-12-30 07:30:00","1899-12-30 07:38:00",100,,13,,17,,
-1634482455,1418671493,100,25,2,10,1,"1899-12-30 07:38:00","1899-12-30 07:41:00",100,,14,,17,,
1086592020,1418671493,100,27,2,10,1,"1899-12-30 07:41:00","1899-12-30 07:44:00",100,,15,,17,,
1620371554,1418671493,100,26,2,10,1,"1899-12-30 07:44:00","1899-12-30 07:58:00",100,,16,,17,,
-497290291,1418671493,100,28,2,10,1,"1899-12-30 07:58:00","1899-12-30 08:05:00",100,,17,,17,,
763642561,-1786682535,100,22,2,10,1,"1899-12-30 05:06:00","1899-12-30 05:43:00",20,"most mussels gone again, leaving large Bg re-exposed. Starting to recognize young Mytilus californianus in plots",215,,17,,
1444356153,-1786682535,100,24,2,10,1,"1899-12-30 06:12:00","1899-12-30 07:00:00",25,"8+14+14+12+3+37+38+17+14 unassociated eggs",216,,17,,
-580263712,-1786682535,100,23,2,10,1,"1899-12-30 07:04:00","1899-12-30 07:26:00",5,"21+6 unassociated No eggs, 36+35 unassociated Nc eggs",217,,17,,
-702430976,-1786682535,100,25,2,10,1,"1899-12-30 07:27:00","1899-12-30 07:53:00",100,,218,,17,,
-878318088,-1786682535,100,27,2,10,1,"1899-12-30 07:54:00","1899-12-30 08:16:00",100,,219,,17,,
-1583097490,-1786682535,100,30,2,10,1,"1899-12-30 08:18:00","1899-12-30 08:28:00",100,,220,,17,,
1914097709,225850791,100,37,2,10,1,"1899-12-30 06:51:00","1899-12-30 07:30:00",90,"13+18+8+14 unassociated No eggs",221,,17,,
372335969,225850791,100,31,2,10,1,"1899-12-30 07:31:00","1899-12-30 08:09:00",20,"37 unassociated No eggs",222,,17,,
1472612998,225850791,100,33,2,10,1,"1899-12-30 08:10:00","1899-12-30 08:37:00",100,,223,,17,,
1003437040,225850791,100,34,2,10,1,"1899-12-30 08:41:00","1899-12-30 09:16:00",75,,224,,17,,
1902141305,-916570024,100,38,2,10,1,"1899-12-30 05:40:00","1899-12-30 06:08:00",100,,225,,17,,
-1460210915,-916570024,100,39,2,10,1,"1899-12-30 05:09:00","1899-12-30 07:17:00",80,"29 unassociated No eggs",226,,17,,
1168070382,-916570024,100,36,2,10,1,"1899-12-30 07:19:00","1899-12-30 08:08:00",25,"38+8 unassociated No eggs",227,,17,,
-586357757,-916570024,100,29,2,10,1,"1899-12-30 08:15:00","1899-12-30 09:00:00",25,"6 unassociated eggs",228,,17,,
1304912713,-916570024,100,28,2,10,1,"1899-12-30 09:02:00","1899-12-30 10:09:00",40,"14+7+8+9 unassociated No eggs",229,,17,,
-2095942308,716130605,100,32,2,10,1,"1899-12-30 06:00:00","1899-12-30 07:19:00",100,,230,,17,,
420542491,716130605,100,35,2,10,1,"1899-12-30 07:24:00","1899-12-30 08:40:00",60,"10 unassociated No eggs",231,,17,,
1493530847,716130605,100,22,2,10,1,"1899-12-30 08:45:00","1899-12-30 09:13:00",20,"additional observations",232,,17,,
184710342,-136811825,100,25,2,10,1,"1899-12-30 03:03:00","1899-12-30 03:20:00",100,,233,,17,,
-95740455,-136811825,100,30,2,10,1,"1899-12-30 03:20:00","1899-12-30 03:26:00",100,,234,,17,,
-864728048,-136811825,100,33,2,10,1,"1899-12-30 03:26:00","1899-12-30 03:42:00",100,,235,,17,,
-1773574366,-136811825,100,27,2,10,1,"1899-12-30 03:43:00","1899-12-30 03:58:00",100,,236,,17,,
2047736193,-136811825,100,22,2,10,1,"1899-12-30 04:48:00","1899-12-30 05:38:00",25,,237,,17,,
-1055936404,-136811825,100,23,2,10,1,"1899-12-30 05:40:00","1899-12-30 06:06:00",20,,238,,17,,
-1657810169,-136811825,100,24,2,10,1,"1899-12-30 06:07:00","1899-12-30 06:58:00",50,,239,,17,,
1068160027,-136811825,100,26,2,10,1,"1899-12-30 07:12:00","1899-12-30 07:58:00",50,,240,,17,,
-887733079,1441310792,100,27,2,10,1,"1899-12-30 04:37:00","1899-12-30 05:29:00",45,,382,,0,,
-1493693539,-2066692649,100,27,2,10,1,"1899-12-30 17:10:00","1899-12-30 17:15:00",100,,69,,17,,
-546066669,-2066692649,100,26,2,10,1,"1899-12-30 17:15:00","1899-12-30 17:24:00",100,,70,,17,,
-75128189,-2066692649,100,28,2,10,1,"1899-12-30 17:25:00","1899-12-30 17:30:00",100,,71,,17,,
861403241,-2066692649,100,29,2,10,1,"1899-12-30 17:30:00","1899-12-30 17:42:00",100,,72,,17,,
-371051175,-2066692649,100,30,2,10,1,"1899-12-30 17:43:00","1899-12-30 17:58:00",100,,73,,17,,
1020876843,-2066692649,100,31,2,10,1,"1899-12-30 18:02:00","1899-12-30 18:20:00",100,,74,,17,,
706265250,-2066692649,100,32,2,10,1,"1899-12-30 18:20:00","1899-12-30 18:26:00",100,,75,,17,,
